,name,text
0,nova 11 SE,"GSM / CDMA / HSPA / CDMA2000 / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 HSPA, LTE-A 2023, October 31 Available. Released 2023, November 03 162.4 x 75.5 x 7.4 mm (6.39 x 2.97 x 0.29 in) 186 g (6.56 oz) Dual SIM (Nano-SIM, dual stand-by) OLED, 1B colors, 90Hz 6.67 inches, 107.4 cm2 (~87.6% screen-to-body ratio) 1080 x 2400 pixels, 20:9 ratio (~395 ppi density) HarmonyOS 4.0 Qualcomm Snapdragon 680 4G (6 nm) Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53) Adreno 610 No 256GB, 512GB 108 MP, f/1.9, (wide), 1/1.67"", 0.64µm, PDAF
8 MP, f/2.2, 112˚ (ultrawide)
2 MP, f/2.4, (macro) LED flash, HDR, panorama 1080p@30fps 32 MP, f/2.5, (wide) 1080p@30fps Yes No Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.0, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS Yes No USB Type-C 2.0 Fingerprint (side-mounted), accelerometer, gyro, proximity, compass Li-Po 4500 mAh, non-removable 66W wired, 100% in 32 min (advertised)
5W reverse wired Green, White, Black BON-AL00 About 260 EUR "
1,Mate 60 Pro+,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x LTE SA/NSA HSPA, LTE-A, 5G 2023, September 08 Available. Released 2023, September 27 163.7 x 79 x 8.1 mm (6.44 x 3.11 x 0.32 in) 225 g (7.94 oz) Glass front, aluminum frame, glass back Hybrid Dual SIM (Nano-SIM, dual stand-by) IP68 dust/water resistant (up to 6m for 30 min) LTPO OLED, 1B colors, 120Hz 6.82 inches, 114.4 cm2 (~88.5% screen-to-body ratio) 1260 x 2720 pixels, 19.5:9 ratio (~440 ppi density) Huawei Kunlun Glass 2 HarmonyOS 4.0 (China) Kirin 9000S (7 nm) Octa-core (1x2.62 GHz Cortex-A720 & 3x2.15 GHz Cortex-A720 & 4x1.53GHz Cortex-A510) Maleoon 910 GPU NM (Nano Memory), up to 256GB (uses shared SIM slot) 512GB 16GB RAM, 1TB 16GB RAM UFS 48 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
48 MP, f/3.0, 90mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF LED flash, panorama, HDR 4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS 13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor) HDR, panorama 4K@30/60fps, 1080p@30/60/240fps Yes, with stereo speakers No 32-bit/384kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.2, A2DP, LE GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5) Yes Yes No USB Type-C 3.1, OTG, DisplayPort 1.2 Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum BDS Satellite Calling and Message Li-Po 5000 mAh, non-removable 88W wired, 100% in 30 min (advertised)
50W wireless
20W reverse wireless Black, Light Gold ALN-AL10 "
2,Mate X5,"GSM / CDMA / HSPA / EVDO / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1xEV-DO LTE SA/NSA HSPA, LTE-A, 5G 2023, September 08 Available. Released 2023, September 16 Unfolded: 156.9 x 141.5 x 5.3 mmFolded: 156.9 x 72.4 x 11.1 mm 243 g or 245 g (8.57 oz) Glass front, glass back or eco leather back, aluminum frame Hybrid Dual SIM (Nano-SIM, dual stand-by) IPX8 dust/water resistant (up to 1.5m for 30 min)
Stylus support (both displays) Foldable OLED, 1B colors, 120Hz 7.85 inches, 197.5 cm2 (~88.9% screen-to-body ratio) 2224 x 2496 pixels (~426 ppi density) Kunlun Glass (cover display only) Cover display:
OLED, 120Hz, 6.4 inches, 1080 x 2504 pixels HarmonyOS 4.0 (China), EMUI (Europe), no Google Play Services Kirin 9000S (7 nm) Octa-core (1x2.62 GHz Cortex-A720 & 3x2.15 GHz Cortex-A720 & 4x1.53GHz Cortex-A510) Maleoon 910 GPU NM (Nano Memory), up to 256GB (uses shared SIM slot) 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM UFS 50 MP, f/1.8, 23mm (wide), PDAF, Laser AF, OIS
12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom
13 MP, f/2.2, 13mm (ultrawide), AF LED flash, panorama, HDR 4K@30/60fps, 1080p@30/60fps, gyro-EIS 8 MP, f/2.4, (wide)
Cover camera:
8 MP, f/2.4, (wide) HDR, panorama 4K@30fps, 1080p@30fps Yes, with stereo speakers No Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.2, A2DP, LE GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5) Yes; NFC-SIM, HCE Yes No USB Type-C 3.1, DisplayPort 1.2, OTG Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, altimeter, color spectrum BDS Satellite Calling and Message Silicon-carbon 5060 mAh, non-removable - China only 66W wired
50W wireless
7.5W reverse wireless Black, White, Purple, Dark Green, Gold ALT-AL10 "
3,Mate 60 Pro,"GSM / CDMA / HSPA / CDMA2000 / LTE / 5G GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x LTE SA/NSA HSPA, LTE-A, 5G 2023, August 29 Available. Released 2023, August 29 163.7 x 79 x 8.1 mm (6.44 x 3.11 x 0.32 in) 225 g (7.94 oz) Glass front, aluminum frame, glass back Hybrid Dual SIM (Nano-SIM, dual stand-by) IP68 dust/water resistant (up to 6m for 30 min) LTPO OLED, 1B colors, 120Hz 6.82 inches, 114.4 cm2 (~88.5% screen-to-body ratio) 1260 x 2720 pixels, 19.5:9 ratio (~440 ppi density) Huawei Kunlun Glass 2 HarmonyOS 4.0 (China) Kirin 9000S (7 nm) Octa-core (1x2.62 GHz Cortex-A720 & 3x2.15 GHz Cortex-A720 & 4x1.53GHz Cortex-A510) Maleoon 910 GPU NM (Nano Memory), up to 256GB (uses shared SIM slot) 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM UFS 50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, Laser AF, OIS
48 MP, f/3.5, 90mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
12 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF LED flash, panorama, HDR 4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS 13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor) HDR, panorama 4K@30/60fps, 1080p@30/60/240fps Yes, with stereo speakers No 32-bit/384kHz audio Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct 5.2, A2DP, LE GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5) Yes Yes No USB Type-C 3.1, OTG, DisplayPort 1.2 Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum BDS Satellite Calling and Message Li-Po 5000 mAh, non-removable 88W wired, 100% in 30 min (advertised)
50W wireless
20W reverse wireless Black, White, Green, Purple ALN-AL00, ALN-AL80 About 890 EUR "
4,nova Y91,"GSM / HSPA / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 1, 2, 3, 4, 5, 7, 8, 13, 20, 26, 28, 38, 40, 41, 66 HSPA, LTE-A 2023, May 23 Available. Released 2023, June 10 171.6 x 79.9 x 8.9 mm (6.76 x 3.15 x 0.35 in) 214 g (7.55 oz) Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) Splash and dust resistant IPS LCD, 90Hz 6.95 inches, 117.4 cm2 (~85.6% screen-to-body ratio) 1080 x 2376 pixels (~376 ppi density) EMUI 13, no Google Play Services Qualcomm Snapdragon 680 4G (6 nm) Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53) Adreno 610 Unspecified 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM 50 MP, f/1.8, (wide), PDAF
2 MP, (depth) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes, with stereo speakers No Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.0, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS No No USB Type-C 2.0 Fingerprint (side-mounted), accelerometer, proximity, gyro, compass Li-Po 7000 mAh, non-removable 22.5W wired Starry Black, Moonlight Silver STG-LX1, STG-LX2 About 280 EUR "
5,nova 11i,"GSM / HSPA / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 1, 2, 3, 4, 5, 7, 8, 13, 20, 28, 66, 26, 38, 40, 41 HSPA, LTE-A 2023, May 01 Available. Released 2023, May 11 164.6 x 75.6 x 8.6 mm (6.48 x 2.98 x 0.34 in) 193 g (6.81 oz) Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) Splash and dust resistant IPS LCD, 90Hz 6.8 inches, 112.0 cm2 (~90.0% screen-to-body ratio) 1080 x 2388 pixels (~385 ppi density) EMUI 13 Qualcomm Snapdragon 680 4G (6 nm) Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53) Adreno 610 Unspecified 128GB 8GB RAM, 256GB 8GB RAM 48 MP, f/1.8, (wide), PDAF
2 MP, (depth) LED flash, HDR, panorama 1080p@30fps 16 MP, f/2.2, (wide) 1080p@30fps Yes No Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.0, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS No No USB Type-C 2.0 Fingerprint (side-mounted), accelerometer, compass Li-Po 5000 mAh, non-removable 40W wired, 60% in 30 min (advertised) Starry Black, Mint Green MAO-LX9 $ 385.00 / € 226.20 "
6,nova Y71,"GSM / HSPA / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) HSDPA 850 / 900 / 1900 / 2100 1, 3, 5, 7, 8, 20, 28, 38, 40, 41 HSPA, LTE 2023, May 09 Available. Released 2023, June 168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in) 199 g (7.02 oz) Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) IPS LCD 6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio) 720 x 1600 pixels, 20:9 ratio (~260 ppi density) EMUI 12, no Google Play Services Kirin 710A (14 nm) Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53) Mali-G51 MP4 microSDXC (uses shared SIM slot) 128GB 8GB RAM 48 MP, f/1.8, 26mm (wide), PDAF
5 MP, f/2.2, 120˚ (ultrawide)
2 MP, f/2.4, (depth) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0 HDR 1080p@30fps Yes Yes Wi-Fi 802.11 b/g/n 5.1, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS No No USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, proximity, compass Li-Po 6000 mAh, non-removable 22.5W wired Black, Gold About 190 EUR "
7,Enjoy 60X,"GSM / HSPA / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 HSDPA 850 / 900 / 2100 1, 3, 5, 8, 34, 38, 39, 40, 41 HSPA, LTE 2023, April 17 Available. Released 2023, April 27 171.6 x 79.9 x 8.9 mm (6.76 x 3.15 x 0.35 in) 216 g (7.62 oz) Dual SIM (Nano-SIM, dual stand-by) TFT LCD, 90Hz 6.95 inches, 117.4 cm2 (~85.6% screen-to-body ratio) 1080 x 2376 pixels (~376 ppi density) HarmonyOS 3.0 Qualcomm SM6225 Snapdragon 680 4G (6 nm) Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver) Adreno 610 No 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM 50 MP, 26mm (wide), 1/1.8"", PDAF
2 MP, f/2.4, (depth) LED flash, HDR, panorama 1080p@30fps 8 MP, f/2.0, (wide) 1080p@30fps Yes, with stereo speakers No Wi-Fi 802.11 a/b/g/n/ac, dual-band 5.0, A2DP, LE GPS, GLONASS, GALILEO, BDS, QZSS Yes; NFC-SIM, HCE Unspecified USB Type-C 2.0, OTG Fingerprint (side-mounted), accelerometer, gyro, proximity, compass Li-Po 7000 mAh, non-removable 22.5W wired
22.5W reverse wired (512GB only) Black, Silver, Green, Orange STG-AL00 About 230 EUR "
8,nova 11 Ultra,"GSM / CDMA / HSPA / CDMA2000 / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 HSPA, LTE-A 2023, April 17 Available. Released 2023, April 27 164.3 x 74.4 x 7.9 mm (6.47 x 2.93 x 0.31 in) 188 g (6.63 oz) Dual SIM (Nano-SIM, dual stand-by) OLED, 1B colors, HDR10, 120Hz 6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio) 1200 x 2652 pixels (~429 ppi density) Kunlun Glass HarmonyOS 3.0 Qualcomm SM7325 Snapdragon 778G 4G (6 nm) Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670) Adreno 642L No 512GB 50 MP, f/1.4-f/4.0, 25mm (wide), PDAF, Laser AF
8 MP, f/2.2, 112˚ (ultrawide), AF LED flash, panorama, HDR 4K, 1080p, 720p@960fps, gyro-EIS 8 MP, f/2.2, 52mm (portrait), AF
60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF HDR 4K@30fps, 1080p@30fps, gyro-EIS Yes, with stereo speakers No Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct 5.2, A2DP, LE GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC Yes; NFC-SIM, HCE No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, compass, color spectrum Virtual proximity sensing
BDS Satellite Message (Emergency SOS service) Li-Po 4500 mAh, non-removable 100W wired, 20-80% in 10 min (advertised)
Reverse wired Black, Green GOA-AL80U About 590 EUR "
9,nova 11 Pro,"GSM / CDMA / HSPA / CDMA2000 / LTE GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual sim model only) CDMA 800 HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 CDMA2000 1x 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 - China HSPA, LTE-A 2023, April 17 Available. Released 2023, April 27 164.3 x 74.4 x 7.9 mm (6.47 x 2.93 x 0.31 in) 188 g or 193 g (6.63 oz) Glass front, glass back or eco leather back Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) OLED, 1B colors, HDR10, 120Hz 6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio) 1200 x 2652 pixels (~429 ppi density) Kunlun Glass HarmonyOS 3.0 Qualcomm SM7325 Snapdragon 778G 4G (6 nm) Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670) Adreno 642L No 256GB 8GB RAM, 512GB 8GB RAM 50 MP, f/1.9, (wide), PDAF, Laser AF
8 MP, f/2.2, 112˚ (ultrawide), AF LED flash, panorama, HDR 4K, 1080p, 720p@960fps, gyro-EIS 8 MP, f/2.2, 52mm (portrait), AF
60 MP, f/2.4, 17mm, 100˚ (ultrawide), AF HDR 4K@30fps, 1080p@30fps, gyro-EIS Yes, with stereo speakers No Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct 5.2, A2DP, LE GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC Yes; NFC-SIM, HCE No USB Type-C 2.0, OTG Fingerprint (under display, optical), accelerometer, gyro, compass, color spectrum Virtual proximity sensing Li-Po 4500 mAh, non-removable 100W wired, 50% in 15 min (advertised)
Reverse wired Black, Green, White, Gold GOA-AL80, GOA-LX9 $ 600.00 / € 649.00 AnTuTu: 519036 (v9), 596434 (v10)
GeekBench: 3008 (v5.5), 2464 (v6.0)
GFXBench: 23fps (ES 3.1 onscreen) Contrast ratio: Infinite (nominal) Photo / Video -29.6 LUFS (Average) Endurance rating 89h "
